Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,1323.09914056856,1587.19087274761,1641.82592182439,1827.10136779993,1441.63645311166,1381.41247833098,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,26919.3616367757,25914.6815458943,22242.681934771,21842.7033068901,21627.3542876417,18035.5543201083,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,40193.6660251226,44010.3332192995,41471.6558845075,42827.8082665792,43364.8828499176,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,7365.6666592364,7410.76107991498,7583.54647643206,7956.14184182861,8573.69394895841,9156.54713922909,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,2805.95141622266,3166.58231162147,3278.62912810215,3432.02178123188,3666.59460633312,3903.49084220656,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,430.0564738591,447.790989285501,487.345714209237,521.538905868244,539.615774988756,531.320595188714,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,518.598360839748,660.586769356136,580.643367387967,584.281845186903,615.940922199717,573.028618907732,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,2998.94127424089,3408.73190339614,3759.38354709702,3928.87894976629,4028.1639914829,4127.35101806198,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,662.279518162433,740.947823017575,766.872233425335,810.326549589374,830.150055114368,828.812471368852,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2110.8220208871,2323.75711462464,2395.07344192129,2356.51670365541,2434.280046303,2495.59049758671,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,32549.998231121,35142.4879344543,36707.7742282554,38364.1949010023,40215.6677311265,42422.8740206243,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,13009.3453790731,14032.7742633362,12819.7120588032,13585.4301761498,14021.902274347,12259.1150279573,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,41620.0674537296,45970.8936808937,44258.8427932005,47493.2490377262,52036.7318144531,50173.3399156473,..
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,1387.88008401275,1455.66677851326,1444.266597568,1456.20162816791,1576.81766887286,1581.58891324619,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,3125.21993359966,3647.62662181143,3700.52353809447,3631.67269360347,3499.58873476515,3346.48703949478,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,6299.91873790671,7874.48479201376,7710.51331388451,6631.29827041489,5442.87477076039,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,4487.36628937513,5828.7647485099,6614.58482115726,6816.62829893909,6336.46806615634,4629.07663359338,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,48260.6653583236,52828.4200254714,48976.9297533848,51814.8592992947,54321.2877185124,51289.7304352308,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMY,64277.0637484897,71307.493719742,74993.6406870089,78119.0598732396,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,30736.3638939294,33707.3249639477,32818.8583768828,36281.1998962546,37206.1829418069,35329.5110979167,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,35851.5080738451,38332.3003680405,34814.1243593936,35367.6030486724,35179.6539515302,29847.0497853143,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,4902.03473104734,5332.47436123876,5445.89471774139,5253.79100953156,5119.2184171202,5137.91553043876,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,42935.2527196828,46229.9723879442,46701.0080028836,38549.6780060974,36152.6900171468,32477.2151449234,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,4054.27066775675,4266.07702155425,4423.11735483368,4656.21980691606,4830.97691525943,4940.04583805643,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,9070.64997199985,12102.6868573563,12857.8988059156,14310.0250195545,13154.8445922887,10508.3964031895,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,991.850545143199,1012.8797726673,1184.92325604363,1261.09286307733,1368.49113215797,1376.71282894881,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,1465.50457444028,1645.80974031399,1641.19741919084,1556.52578719575,1509.52118657047,1291.87997128586,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,22151.2088921324,24155.8298493082,24453.9719124644,25997.8810547699,27989.3539925863,27221.5240509661,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,KSV,3283.21193843172,3736.84099938332,3600.88700027693,3890.3006647896,4073.81911686883,3553.36734269062,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,37725.141206371,47551.3829674489,50903.9046037897,48463.1516704617,43593.7020176514,28984.6433890283,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,880.037775119109,1123.8831680627,1177.97473487848,1282.43716202467,1279.76978265986,1103.2153515202,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,1147.09538658271,1300.97960150014,1445.86945014266,1700.98737845792,1751.39697066336,1812.32676524824,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,11319.517002394,13781.2097866151,13775.2615846281,15015.8346769086,15692.1915611781,13664.9414278021,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,8763.79596416551,8728.56591181142,8773.93195644805,8388.97333273521,8148.6391668339,8050.75075624426,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,1087.98277034468,1241.20570623397,1158.80422205502,1064.82832238391,1034.18528751221,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,326.604438111264,378.814062448677,414.185155441744,453.339457045359,457.858586520261,455.873934536237,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,11933.7792588018,5517.77956923157,13035.1922002032,10453.9704394131,6573.38673726201,4643.30576247058,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,140101.967275142,157092.969386695,149160.758132157,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,11988.757967609,14367.2093249849,14342.5234770018,15694.0962942719,16489.7289835331,14172.2210702975,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,103267.276511115,113239.56097199,105447.093240743,113726.638978771,116612.884151875,101449.968168042,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,52604.3271347173,67150.2767545254,77145.0395041344,90746.10886213,96074.8369597196,78585.8770573122,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macedonia, FYR",MKD,4561.17754644919,5079.9620789636,4709.51162777738,5219.53568101849,5453.28127512774,4852.65784744443,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,414.142787218657,456.329307134312,444.958493750152,462.973999137211,467.130334270816,411.816055713571,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,471.207752434354,525.651739290892,383.969459754717,340.879420492438,362.247486595025,381.370536197336,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,9069.04175699503,10427.7560500121,10834.6590783671,10973.6559383179,11307.064952828,9766.16575200497,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,6330.79498041553,6497.55044274666,6529.97807019209,7112.46821987818,7640.6471532801,7681.07576733719,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,704.064620886671,829.849231276721,772.249921673187,798.318480769749,842.114337237737,744.346106077478,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,19694.0831567142,22347.708423805,21176.3099827802,22776.1946886632,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,3124.34344775456,3290.02918516168,3502.26070428711,3602.85394410217,3529.74830339742,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1207.82745750371,1402.66912860389,1385.00468177818,1457.836387254,1370.98521248511,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,7772.10005652754,8984.62976859867,9113.64064294,9479.86959015448,10002.8704750471,9116.82771519446,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,8861.49371999101,9730.277761437,9720.56167412905,10197.4445635608,10350.814693018,9009.2611626629,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,2838.44854708113,2998.64219722448,3147.67920215769,3044.07737286632,3057.09102471788,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,1631.53583179532,1970.57137253336,2046.53678665109,2243.979662444,2244.76376248334,1843.24280182141,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,145221.191568424,163351.646685562,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,2650.34688487431,3772.93154739095,4377.2388700925,4400.61451460346,4201.73771089327,3973.43983362286,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,6682.28115774575,7318.74469026724,6586.7212793222,7186.81145498166,7378.04440441034,6415.03408351413,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,2857.6734140278,3066.50315775774,2931.40019953372,3153.77201872625,3190.31044414024,2871.51358828203,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,417.501231533203,524.89145294127,564.812463094317,605.234444722447,622.638064437746,525.008155116386,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,..,..,1421.48386393938,1106.99157606477,1203.84472110364,1203.50538655951,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,5143.13067579247,5539.61515966925,5679.82912868023,5420.81169032783,5342.94446039872,4695.76514977115,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,595.427519830012,695.883198294347,685.496758554012,692.336309425971,701.680063399496,732.298716316243,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,50341.251919716,53537.2751512189,49474.705606422,51425.0789882648,52138.6839244096,44433.4143287366,..
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,33692.1695969513,38426.695330151,40066.5648004195,42928.0963291754,44380.426584212,37807.9672760442,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,1523.48146882139,1679.74820015716,1776.2092435787,1829.02498918094,1960.49090771313,2086.89500277099,..
